date,ISPU,Batas Atas Kategori Baik,Batas Atas Kategori Sedang,Batas Atas Kategori Tidak Sehat
2020-02-01,73,50,100,199
2020-02-02,64,50,100,199
2020-02-03,64,50,100,199
2020-02-04,77,50,100,199
2020-02-05,104,50,100,199
2020-02-06,93,50,100,199
2020-02-07,73,50,100,199
2020-02-08,66,50,100,199
2020-02-09,91,50,100,199
2020-02-10,109,50,100,199
2020-02-11,126,50,100,199
2020-02-12,105,50,100,199
2020-02-13,118,50,100,199
2020-02-14,191,50,100,199
2020-02-15,118,50,100,199
2020-02-16,90,50,100,199
2020-02-17,182,50,100,199
2020-02-18,81,50,100,199
2020-02-19,56,50,100,199
2020-02-20,57,50,100,199
2020-02-21,88,50,100,199
2020-02-22,48,50,100,199
2020-02-23,66,50,100,199
2020-02-24,75,50,100,199
2020-02-25,77,50,100,199
2020-02-26,96,50,100,199
2020-02-27,96,50,100,199
2020-02-28,78,50,100,199
2020-02-29,82,50,100,199
2020-03-01,110,50,100,199
2020-03-02,77,50,100,199
2020-03-03,76,50,100,199
2020-03-04,89,50,100,199
2020-03-05,64,50,100,199
2020-03-06,74,50,100,199
2020-03-07,112,50,100,199
2020-03-08,77,50,100,199
2020-03-09,92,50,100,199
2020-03-10,86,50,100,199
2020-03-11,83,50,100,199
2020-03-12,114,50,100,199
2020-03-13,76,50,100,199
2020-03-14,94,50,100,199
2020-03-15,84,50,100,199
2020-03-16,105,50,100,199
2020-03-17,86,50,100,199
2020-03-18,132,50,100,199
2020-03-19,125,50,100,199
2020-03-20,87,50,100,199
2020-03-21,80,50,100,199
2020-03-22,89,50,100,199
2020-03-23,110,50,100,199
2020-03-24,112,50,100,199
2020-03-25,65,50,100,199
2020-03-26,71,50,100,199
2020-03-27,101,50,100,199
2020-03-28,95,50,100,199
2020-03-29,114,50,100,199
2020-03-30,102,50,100,199
2020-03-31,75,50,100,199
2020-04-01,117,50,100,199
2020-04-02,92,50,100,199
2020-04-03,82,50,100,199
2020-04-04,98,50,100,199
2020-04-05,104,50,100,199
2020-04-06,121,50,100,199
2020-04-07,93,50,100,199
2020-04-08,100,50,100,199
2020-04-09,87,50,100,199
2020-04-10,102,50,100,199
2020-04-11,111,50,100,199
2020-04-12,107,50,100,199
2020-04-13,115,50,100,199
2020-04-14,103,50,100,199
2020-04-15,113,50,100,199
2020-04-16,72,50,100,199
2020-04-17,104,50,100,199
2020-04-18,136,50,100,199
2020-04-19,109,50,100,199
2020-04-20,104,50,100,199
2020-04-21,105,50,100,199
2020-04-22,90,50,100,199
2020-04-23,87,50,100,199
2020-04-24,101,50,100,199
2020-04-25,104,50,100,199
2020-04-26,109,50,100,199
2020-04-27,111,50,100,199
2020-04-28,116,50,100,199
2020-04-29,124,50,100,199
2020-04-30,103,50,100,199
2020-05-01,108,50,100,199
2020-05-02,79,50,100,199
2020-05-03,102,50,100,199
2020-05-04,112,50,100,199
2020-05-05,126,50,100,199
2020-05-06,112,50,100,199
2020-05-07,112,50,100,199
