Date,total_infected,infected_per_day,recovered_per_day,total_recovered,deaths_per_day,total_deaths,infected
2020-03-02,2,2,0,0,0,0,
2020-03-03,2,0,0,0,0,0,
2020-03-04,2,0,0,0,0,0,
2020-03-05,2,0,0,0,0,0,
2020-03-06,4,2,0,0,0,0,
2020-03-07,4,0,0,0,0,0,
2020-03-08,6,2,0,0,0,0,
2020-03-09,19,13,0,0,0,0,
2020-03-10,27,8,0,0,0,0,
2020-03-12,34,0,1,3,2,4,
2020-03-13,69,35,2,5,0,4,
2020-03-14,96,27,3,8,1,5,
2020-03-15,117,21,0,8,0,5,
2020-03-16,134,17,0,8,0,5,
2020-03-17,172,38,1,9,2,7,
2020-03-18,227,55,2,11,12,19,
2020-03-19,309,82,4,15,6,25,
2020-03-20,369,60,1,16,7,32,
2020-03-21,450,81,4,20,6,38,
2020-03-22,514,64,9,29,10,48,
2020-03-23,579,65,1,30,1,49,
2020-03-24,685,106,0,30,6,55,
2020-03-25,790,105,1,31,3,58,
2020-03-26,893,103,4,35,20,78,
2020-03-27,1046,153,11,46,9,87,
2020-03-28,1155,109,13,59,15,102,
2020-03-29,1285,130,5,64,12,114,
2020-03-30,1414,129,11,75,8,122,
2020-03-31,1528,114,6,81,14,136,
2020-04-01,1677,149,22,103,21,157,
2020-04-02,1790,113,9,112,13,170,
2020-04-03,1986,196,22,134,11,181,
2020-04-04,2092,106,16,150,10,191,
2020-04-05,2273,181,14,164,7,198,
2020-04-06,2491,218,28,192,11,209,
2020-04-07,2738,247,12,204,12,221,
2020-04-08,2956,218,18,222,19,240,
2020-04-09,3293,337,30,252,40,280,
2020-04-10,3512,219,30,282,26,306,
2020-04-11,3842,330,4,286,21,327,
2020-04-12,4241,399,73,359,46,373,
2020-04-13,4557,316,21,380,26,399,
2020-04-14,4839,282,46,426,60,459,
2020-04-15,5136,297,20,446,10,469,
2020-04-16,5516,380,102,548,27,496,
2020-04-17,5923,407,59,607,24,520,
2020-04-18,6248,325,24,631,15,535,
2020-04-19,6575,327,55,686,47,582,
2020-04-20,6760,185,61,747,8,590,
2020-04-21,7135,375,95,842,26,616,
2020-04-22,7418,283,71,913,20,636,
2020-04-23,7775,357,47,960,11,647,
2020-04-24,8211,436,42,1002,42,689,
2020-04-25,8607,396,40,1042,31,720,
2020-04-26,8882,275,65,1107,23,743,
2020-04-27,9096,214,44,1151,22,765,
2020-04-28,9511,415,103,1254,8,773,
2020-04-29,9771,260,137,1391,11,784,
2020-04-30,10118,347,131,1522,8,792,
2020-05-01,10551,433,69,1591,8,800,
2020-05-02,10843,292,74,1665,31,831,
2020-05-03,11192,349,211,1876,14,845,
2020-05-04,11587,395,78,1954,19,864,
2020-05-05,12071,484,243,2197,8,872,
2020-05-06,12438,367,120,2317,23,895,
2020-05-07,12776,338,64,2381,35,930,
2020-05-08,13112,336,113,2494,13,943,
2020-05-09,13645,533,113,2607,16,959,
2020-05-10,14032,387,91,2698,14,973,
2020-05-11,14265,233,183,2881,18,991,
2020-05-12,14749,484,182,3063,16,1007,
2020-05-13,15438,689,224,3287,21,1028,
2020-05-14,16006,568,231,3518,15,1043,
2020-05-15,16496,490,285,3803,33,1076,
2020-05-16,17025,529,108,3911,13,1089,
2020-05-17,17514,489,218,4129,59,1148,
2020-05-18,18010,496,195,4324,43,1191,
2020-05-19,18496,486,143,4467,30,1221,
2020-05-20,19189,693,108,4575,21,1242,
2020-05-21,20162,973,263,4838,36,1278,
2020-05-22,20796,634,219,5057,48,1326,
2020-05-23,21745,949,192,5249,25,1351,
2020-05-24,22271,526,153,5402,21,1372,
2020-05-25,22750,479,240,5642,19,1391,
2020-05-26,23165,415,235,5877,27,1418,
2020-05-27,23851,686,180,6057,55,1473,
2020-05-28,24538,687,183,6240,23,1496,
2020-05-29,25216,678,252,6492,24,1520,
2020-05-30,25773,557,523,7015,53,1573,
2020-05-31,26473,700,293,7308,40,1613,
2020-06-01,26940,467,329,7637,28,1641,
2020-06-02,27549,609,298,7935,22,1663,
2020-06-03,28233,684,471,8406,35,1698,
2020-06-04,28818,585,486,8892,23,1721,
2020-06-05,29521,703,551,9443,49,1770,
2020-06-06,30514,993,464,9907,31,1801,
2020-06-07,31186,672,591,10498,50,1851,
2020-06-08,32033,847,406,10904,32,1883,
2020-06-09,33076,1043,510,11414,40,1923,
2020-06-10,34316,1240,715,12129,36,1959,
2020-06-11,35295,979,507,12636,41,2000,
2020-06-12,36406,1111,577,13213,48,2048,
2020-06-13,37420,1014,563,13776,43,2091,
2020-06-14,38277,857,755,14531,43,2134,
2020-06-15,39294,1017,592,15123,64,2198,
2020-06-16,40400,1106,580,15703,33,2231,
2020-06-17,41431,1031,540,16243,45,2276,
2020-06-18,42762,1331,555,16798,63,2339,
2020-06-19,43803,1041,551,17349,34,2373,
2020-06-20,45029,1226,534,17883,56,2429,
2020-06-21,45891,862,521,18404,36,2465,
2020-06-22,46845,954,331,18735,35,2500,
2020-06-23,47896,1051,506,19241,35,2535,
2020-06-24,49009,1113,417,19658,38,2573,
2020-06-25,50187,1178,791,20449,47,2620,
2020-06-26,51427,1240,884,21333,63,2683,
2020-06-27,52812,1385,576,21909,37,2720,
2020-06-28,54010,1198,1027,22936,34,2754,
2020-06-29,55092,1082,864,23800,51,2805,
2020-06-30,56385,1293,1006,24806,71,2876,
2020-07-01,57770,1385,789,25595,58,2934,
2020-07-02,59394,1624,1072,26667,53,2987,
2020-07-03,60695,1301,901,27568,49,3036,
2020-07-04,62142,1447,651,28219,53,3089,
2020-07-05,63749,1607,886,29105,82,3171,
2020-07-06,64958,1209,814,29919,70,3241,
2020-07-07,66226,1268,866,30785,68,3309,
2020-07-08,68079,1853,800,31585,50,3359,
2020-07-09,70736,2657,1066,32651,58,3417,
2020-07-10,72347,1611,878,33529,52,3469,
2020-07-11,74018,1671,1190,34719,66,3535,
2020-07-12,75699,1681,919,35638,71,3606,
2020-07-13,76981,1282,1051,36689,50,3656,
2020-07-14,78572,1591,947,37636,54,3710,
2020-07-15,80094,1522,1414,39050,87,3797,
2020-07-16,81668,1574,1295,40345,76,3873,
2020-07-17,83130,1462,1489,41834,84,3957,
2020-07-18,84882,1752,1434,43268,59,4016,
2020-07-19,86521,1639,2133,45401,127,4143,
2020-07-20,88214,1693,1576,46977,96,4239,
2020-07-21,89869,1655,1489,48466,81,4320,
2020-07-22,91751,1882,1789,50255,139,4459,
2020-07-23,93657,1906,1909,52164,117,4576,
2020-07-24,95418,1761,1781,53945,89,4665,
2020-07-25,97286,1868,1409,55354,49,4714,
2020-07-26,98778,1492,1301,56655,67,4781,
2020-07-27,100303,1525,1518,58173,57,4838,
2020-07-28,102051,1748,2366,60539,63,4901,
2020-07-29,104432,2381,1599,62138,74,4975,
2020-07-30,106336,1904,2154,64292,83,5058,
2020-07-31,108376,2040,1615,65907,73,5131,
2020-08-01,109936,1560,2012,67919,62,5193,
2020-08-02,111455,1519,1056,68975,43,5236,
