date,Period,ISPU,Average Speed,Air Quality Index Level: Good,Air Quality Index Level: Moderate,Air Quality Index Level: Unhealthy
2020-02-16,Pra PSBB,118,18.881,50,100,199
2020-02-17,Pra PSBB,90,15.95,50,100,199
2020-02-18,Pra PSBB,182,15.755,50,100,199
2020-02-19,Pra PSBB,81,15.496,50,100,199
2020-02-20,Pra PSBB,56,14.797,50,100,199
2020-02-21,Pra PSBB,57,15.943,50,100,199
2020-02-22,Pra PSBB,88,16.148,50,100,199
2020-02-24,Pra PSBB,48,15.211,50,100,199
2020-02-25,Pra PSBB,66,16.107,50,100,199
2020-02-26,Pra PSBB,75,15.289,50,100,199
2020-02-27,Pra PSBB,77,14.78,50,100,199
2020-02-28,Pra PSBB,96,14.013,50,100,199
2020-02-29,Pra PSBB,96,16.84,50,100,199
2020-03-01,Pra PSBB,78,18.482,50,100,199
2020-03-02,Pra PSBB,82,15.192,50,100,199
2020-03-03,Pra PSBB,110,15.113,50,100,199
2020-03-06,Pra PSBB,77,15.311,50,100,199
2020-03-07,Pra PSBB,76,16.687,50,100,199
2020-03-08,Pra PSBB,89,16.436,50,100,199
2020-03-10,Pra PSBB,64,15.309,50,100,199
2020-03-11,Pra PSBB,74,16.214,50,100,199
2020-03-14,Pra PSBB,112,18.701,50,100,199
2020-03-17,Pra PSBB,77,17.491,50,100,199
2020-03-20,Pra PSBB,92,19.474,50,100,199
2020-03-25,Pra PSBB,86,13.44,50,100,199
2020-03-26,Pra PSBB,83,16.542,50,100,199
2020-03-29,Pra PSBB,114,14.915,50,100,199
2020-04-01,Pra PSBB,76,17.064,50,100,199
2020-04-02,Pra PSBB,94,17.283,50,100,199
2020-04-03,Pra PSBB,84,17.919,50,100,199
2020-04-04,Pra PSBB,105,15.424,50,100,199
2020-04-06,Pra PSBB,86,17.146,50,100,199
2020-04-10,PSBB,132,18.1,50,100,199
2020-04-11,PSBB,125,16.602,50,100,199
2020-04-15,PSBB,87,15.22,50,100,199
2020-04-16,PSBB,80,16.393,50,100,199
2020-04-18,PSBB,89,17.253,50,100,199
2020-04-19,PSBB,110,15.894,50,100,199
2020-04-20,PSBB,112,16.649,50,100,199
2020-04-23,PSBB,65,16.4,50,100,199
