lat,long,no__laporan
-6.22347,106.8613,87
-6.22345,106.8614,82
-6.22346,106.8614,66
-6.2235,106.8614,59
-6.22338,106.8614,43
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.2235,106.8613,39
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22344,106.8614,37
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22349,106.8614,32
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22344,106.8613,31
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22349,106.8613,28
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22356,106.8613,27
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22358,106.8614,25
-6.22352,106.8614,25
-6.22346,106.8615,22
-6.22346,106.8615,22
-6.22346,106.8615,22
-6.22346,106.8615,22
