date,total_reports,jaki
2020-03-01,3,
2020-03-02,4,
2020-03-03,3,1
2020-03-04,8,2
2020-03-05,6,1
2020-03-06,5,2
2020-03-07,4,1
2020-03-09,6,1
2020-03-10,13,3
2020-03-11,5,2
2020-03-12,13,4
2020-03-13,6,2
2020-03-14,5,1
2020-03-15,2,3
2020-03-16,13,2
2020-03-17,12,3
2020-03-18,13,1
2020-03-19,12,1
2020-03-20,15,3
2020-03-21,19,1
2020-03-22,14,1
2020-03-23,23,1
2020-03-24,37,1
2020-03-25,23,1
2020-03-26,26,2
2020-03-27,25,1
2020-03-28,14,4
2020-03-29,20,2
2020-03-30,21,1
2020-03-31,19,6
2020-04-01,11,8
2020-04-02,13,25
2020-04-03,19,14
2020-04-04,19,28
2020-04-05,13,10
2020-04-06,23,14
2020-04-07,16,20
2020-04-08,36,18
2020-04-09,68,17
2020-04-10,81,12
2020-04-11,65,11
2020-04-12,87,11
2020-04-13,82,15
2020-04-14,73,6
2020-04-15,93,15
2020-04-16,75,12
2020-04-17,86,6
2020-04-18,89,11
2020-04-19,81,9
2020-04-20,85,9
2020-04-21,78,9
2020-04-22,62,6
2020-04-23,67,5
2020-04-24,53,10
2020-04-25,121,10
2020-04-26,54,9
2020-04-27,74,12
2020-04-28,56,8
2020-04-29,54,2
2020-04-30,55,3
2020-05-01,24,3
2020-05-02,64,7
2020-05-03,42,4
2020-05-04,48,4
2020-05-05,51,1
2020-05-06,48,13
2020-05-07,41,7
2020-05-08,41,10
2020-05-09,20,14
2020-05-10,55,3
2020-05-11,46,5
2020-05-12,41,6
2020-05-13,26,6
2020-05-14,40,5
2020-05-15,35,2
2020-05-16,39,8
2020-05-17,55,4
2020-05-18,37,7
2020-05-19,32,5
2020-05-20,31,4
2020-05-21,29,3
2020-05-22,45,3
2020-05-23,37,6
2020-05-24,41,2
2020-05-25,12,3
2020-05-26,26,2
2020-05-27,28,4
2020-05-28,19,2
2020-05-29,15,2
2020-05-30,13,9
2020-05-31,36,10
2020-06-01,30,1
2020-06-02,23,1
2020-06-03,19,5
2020-06-04,19,3
2020-06-05,37,6
2020-06-06,24,5
2020-06-07,21,2
2020-06-08,28,2
2020-06-09,14,3
2020-06-10,20,1
2020-06-11,26,6
2020-06-12,14,4
2020-06-13,6,4
2020-06-14,17,6
2020-06-15,16,3
2020-06-16,13,1
2020-06-17,21,1
2020-06-18,11,1
2020-06-19,10,4
2020-06-20,5,9
2020-06-21,10,5
2020-06-22,41,2
2020-06-23,19,2
2020-06-24,14,3
2020-06-25,21,4
2020-06-26,10,4
2020-06-27,4,5
2020-06-28,5,4
2020-06-29,6,3
2020-06-30,10,2
2020-07-01,14,1
2020-07-02,19,3
2020-07-03,9,4
2020-07-04,10,5
2020-07-05,9,4
2020-07-06,13,3
2020-07-07,13,7
2020-07-08,14,2
2020-07-09,17,3
2020-07-10,12,3
2020-07-11,12,5
2020-07-12,9,5
2020-07-13,14,2
2020-07-14,7,6
2020-07-15,13,2
2020-07-16,17,5
2020-07-17,9,3
2020-07-18,19,16
2020-07-19,17,15
2020-07-20,15,2
2020-07-21,9,2
2020-07-22,15,3
2020-07-23,16,3
2020-07-24,16,9
2020-07-25,15,8
2020-07-26,19,6
2020-07-27,10,1
2020-07-28,13,11
2020-07-29,16,5
2020-07-30,26,5
2020-07-31,25,4
2020-08-01,7,2
2020-08-02,17,5
2020-08-03,14,7
2020-08-04,15,7
2020-08-05,21,7
2020-08-06,15,3
2020-08-07,12,6
2020-08-08,6,1
2020-08-09,5,8
2020-08-10,27,4
2020-08-11,18,3
2020-08-12,12,6
2020-08-13,16,5
2020-08-14,10,2
2020-08-15,15,7
2020-08-16,17,3
